round,stage,heterogeneity,norm_mean,norm_median,mean_vector_norm,norm_client_0,norm_client_1,norm_client_2,norm_client_3,norm_client_4,norm_client_5,norm_client_6,norm_client_7,norm_client_8,norm_client_9,cosine_mean,cosine_median,cosine_valid_pairs
50,raw_gradient,129.26416015625,10.840255737304688,9.559422492980957,3.7393598556518555,6.474481105804443,4.479763507843018,8.260058403015137,13.078962326049805,6.253020286560059,10.215222358703613,17.418245315551758,8.9036226272583,21.65909194946289,11.660091400146484,-0.03223232924938202,-0.049642812460660934,45
50,clipped_gradient,24.662336349487305,5.089069366455078,4.872488975524902,1.5375723838806152,3.9911673069000244,3.728111743927002,4.920411109924316,4.8245673179626465,4.4625749588012695,4.996086120605469,6.719584941864014,4.485978126525879,7.205790996551514,5.556423664093018,-0.03223232924938202,-0.049642812460660934,45
50,client_update,17.682476043701172,4.313606262207031,4.166395664215088,1.3065547943115234,3.3488962650299072,3.185720920562744,4.234372615814209,4.11085844039917,3.7523345947265625,4.221932888031006,5.699502944946289,3.862211227416992,6.043918609619141,4.676313877105713,-0.03384222090244293,-0.0626591145992279,45
55,raw_gradient,163.6999969482422,11.905895233154297,11.557279586791992,2.9020206928253174,3.843712091445923,3.6043622493743896,8.028340339660645,9.858169555664062,11.917590141296387,18.592130661010742,18.63547706604004,11.196969985961914,19.363052368164062,14.01915168762207,-0.052494246512651443,-0.061904583126306534,45
55,clipped_gradient,28.681955337524414,5.360409259796143,5.0948028564453125,1.3357559442520142,3.843712091445923,3.6043622493743896,5.117694854736328,5.071911334991455,4.742226600646973,5.330793857574463,7.24650764465332,4.70224142074585,8.027267456054688,5.9173736572265625,-0.05249425023794174,-0.06190457567572594,45
55,client_update,20.164094924926758,4.54414701461792,4.364607334136963,1.2670707702636719,3.32863187789917,3.1109278202056885,4.40620756149292,4.323007106781006,3.942711114883423,4.5313286781311035,6.127155780792236,4.032505989074707,6.600761890411377,5.038234233856201,-0.04548816755414009,-0.056360166519880295,45
60,raw_gradient,185.13943481445312,12.692527770996094,11.646480560302734,3.7492456436157227,5.8559041023254395,5.903197765350342,13.28123950958252,10.011720657348633,6.009648323059082,16.261680603027344,22.489381790161133,7.5540642738342285,19.3502197265625,20.208223342895508,-0.04021499678492546,-0.06466619670391083,45
60,clipped_gradient,32.28811264038086,5.710318565368652,5.291652202606201,1.5748496055603027,4.170435428619385,3.8666412830352783,5.2273850440979,5.355919361114502,4.9586076736450195,5.659334182739258,7.892741680145264,4.898942947387695,8.72329330444336,6.349884986877441,-0.04021500423550606,-0.06466619670391083,45
60,client_update,22.744216918945312,4.797706127166748,4.477376937866211,1.3370411396026611,3.471069574356079,3.1834304332733154,4.481256008148193,4.473498344421387,4.103237152099609,4.821168422698975,6.64296817779541,4.173385143280029,7.234124660491943,5.392920970916748,-0.046795640140771866,-0.04882500693202019,45
65,raw_gradient,213.5469207763672,12.72292709350586,9.058732986450195,4.69806432723999,2.232485055923462,8.548258781433105,4.068198204040527,8.411161422729492,9.569207191467285,14.49075984954834,30.35245132446289,6.901525020599365,23.634592056274414,19.0206356048584,-0.013547479175031185,-0.02333972603082657,45
65,clipped_gradient,33.542274475097656,5.712640762329102,5.407485008239746,1.82368004322052,2.232485055923462,3.9948043823242188,4.068198204040527,5.727479457855225,5.087490558624268,5.998109340667725,8.565403938293457,5.029712677001953,9.437565803527832,6.985157489776611,-0.013547486625611782,-0.02333972230553627,45
65,client_update,25.332788467407227,4.9981818199157715,4.538337707519531,1.3847142457962036,3.0705456733703613,3.189396381378174,4.440573692321777,4.636101722717285,4.256755828857422,5.128715991973877,7.24888801574707,4.260583877563477,7.883141040802002,5.8671135902404785,-0.051348570734262466,-0.050792060792446136,45
70,raw_gradient,267.268310546875,14.350662231445312,14.097420692443848,5.993008136749268,6.556439399719238,3.1896328926086426,10.658095359802246,13.520308494567871,16.45588493347168,18.66143035888672,15.038362503051758,14.674532890319824,39.98822021484375,4.763700485229492,-0.019971570000052452,-0.018865128979086876,45
70,clipped_gradient,36.802284240722656,6.053017616271973,5.587523460388184,2.0238075256347656,4.340931415557861,3.1896328926086426,5.652835845947266,5.917675018310547,5.522211074829102,6.3645501136779785,9.044175148010254,5.2489333152771,10.485530853271484,4.763700485229492,-0.0199715718626976,-0.018865125253796577,45
70,client_update,28.395185470581055,5.184673309326172,4.672863006591797,1.2836638689041138,2.862381935119629,2.917886257171631,4.576241970062256,4.76948356628418,4.524733543395996,5.414532661437988,7.795716285705566,4.369905471801758,8.642341613769531,5.973508358001709,-0.06670115143060684,-0.07586215436458588,45
75,raw_gradient,233.82958984375,12.783345222473145,8.776567459106445,4.651259899139404,7.018351078033447,3.6115472316741943,10.534784317016602,6.248042583465576,4.432104110717773,17.446414947509766,14.62492847442627,5.9401021003723145,35.638668060302734,22.3385009765625,-0.047090355306863785,-0.02816586196422577,45
