round,client_id,input_norm,output_norm,threshold,scale,clipped
80,9,10.36061954498291,8.160642623901367,8.1606426172064,0.7876597136368285,1
85,0,10.832322120666504,4.44317102432251,4.443170955783989,0.4101771508295144,1
85,1,6.1712141036987305,4.155207633972168,4.155207753468309,0.673320932339997,1
85,2,6.253502368927002,5.9995503425598145,5.999551059910636,0.9593904325312087,1
85,3,2.5765280723571777,2.5765280723571777,6.428298812153676,1.0,0
85,4,7.851934909820557,6.314269065856934,6.3142685762408854,0.804167270663383,1
85,5,7.721991062164307,7.289592266082764,7.2895918232278385,0.9440042350993928,1
85,6,13.896642684936523,10.938091278076172,10.938090594883244,0.7871031533344872,1
85,7,9.05755615234375,5.701643466949463,5.701643088115591,0.6294902698973712,1
85,8,35.67289733886719,13.717094421386719,13.717094458202725,0.3845242591619084,1
85,9,10.949654579162598,8.262655258178711,8.262654748673167,0.7546041930768028,1
90,0,6.406291484832764,4.6067633628845215,4.60676327228802,0.7190998682765651,1
90,1,2.5462522506713867,2.5462522506713867,4.252604493624443,1.0,0
90,2,1.8870477676391602,1.8870477676391602,6.095283389581311,1.0,0
90,3,11.739615440368652,6.565673828125,6.565673886755316,0.559275034303749,1
90,4,13.839789390563965,6.395450592041016,6.395450267623026,0.46210606329034637,1
90,5,13.927531242370605,7.428592205047607,7.428592287365536,0.533374657415824,1
90,6,19.30351448059082,11.048757553100586,11.048756829743484,0.5723702574580304,1
90,7,12.042154312133789,5.798980236053467,5.79898039972075,0.4815567120087773,1
90,8,23.761810302734375,14.389082908630371,14.389082712653805,0.6055549945609386,1
90,9,11.615167617797852,8.559378623962402,8.559379230087007,0.7369139133943206,1
95,0,8.464576721191406,4.676379203796387,4.676378817918392,0.5524646249692421,1
95,1,3.0898826122283936,3.0898826122283936,4.219144482588699,1.0,0
95,2,11.337800025939941,6.18810510635376,6.188104892394574,0.5457941657284386,1
95,3,7.3040642738342285,6.738595485687256,6.7385958588088775,0.9225816248396548,1
95,4,7.290339946746826,6.779789924621582,6.779790239403859,0.9299689690940863,1
